,text_description
596,有一个Huangpu的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有WIFI，房租价格是11111.0。
597,有一个Huangpu的attached lane house，1卧2厅1卫，面积是62平方米，整栋建筑，有室外空间，有空调，房租价格是11500.0。
598,有一个Huangpu的attached lane house，3卧1厅1卫，面积是65平方米，有空调，有阳台，房租价格是11500.0。
599,有一个Huangpu的attached lane house，1卧2厅1卫，面积是50平方米，有室外空间，有供暖，房租价格是11500.0。
600,有一个Huangpu的detached lane house，2卧1厅1卫，面积是60平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是11500.0。
601,有一个Huangpu的detached lane house，1卧2厅1卫，面积是80平方米，有室外空间，房租价格是11500.0。
602,有一个Huangpu的detached lane house，1卧1厅1卫，面积是70平方米，整栋建筑，有空调，有WIFI，房租价格是11500.0。
603,有一个Huangpu的detached lane house，1卧1厅1卫，面积是70平方米，有供暖，有空调，有WIFI，房租价格是11500.0。
604,有一个Huangpu的attached lane house，2卧1厅1卫，面积是60平方米，有室外空间，房租价格是11800.0。
605,有一个Huangpu的attached lane house，1卧1厅1卫，面积是80平方米，有室外空间，有空调，房租价格是11800.0。
606,有一个Huangpu的detached lane house，2卧1厅1卫，面积是90平方米，有室外空间，房租价格是11800.0。
607,有一个Huangpu的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是11800.0。
608,有一个Huangpu的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，房租价格是11800.0。
609,有一个Huangpu的attached lane house，1卧1厅1卫，面积是60平方米，有空调，有阳台，有WIFI，房租价格是11900.0。
610,有一个Huangpu的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，房租价格是12000.0。
611,有一个Huangpu的detached lane house，2卧2厅1卫，面积是100平方米，房租价格是12000.0。
612,有一个Huangpu的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，房租价格是12000.0。
613,有一个Huangpu的attached lane house，2卧2厅1卫，面积是80平方米，有室外空间，房租价格是12000.0。
614,有一个Huangpu的attached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有空调，房租价格是12000.0。
615,有一个Huangpu的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是12000.0。
616,有一个Huangpu的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，房租价格是12000.0。
617,有一个Huangpu的public housing，1卧2厅1卫，面积是65平方米，有室外空间，房租价格是12000.0。
618,有一个Huangpu的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是12000.0。
619,有一个Huangpu的attached lane house，2卧2厅1卫，面积是75平方米，有空调，房租价格是12000.0。
620,有一个Huangpu的attached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有空调，房租价格是12000.0。
621,有一个Huangpu的attached lane house，2卧2厅1卫，面积是80平方米，有空调，房租价格是12000.0。
622,有一个Huangpu的attached lane house，2卧2厅1卫，面积是100平方米，房租价格是12000.0。
623,有一个Huangpu的attached lane house，1卧2厅1卫，面积是60平方米，有空调，房租价格是12000.0。
624,有一个Huangpu的attached lane house，2卧1厅1卫，面积是48平方米，有空调，房租价格是12000.0。
625,有一个Huangpu的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是12000.0。
626,有一个Huangpu的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，房租价格是12000.0。
627,有一个Huangpu的attached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有供暖，房租价格是12500.0。
628,有一个Huangpu的attached lane house，1卧1厅1卫，面积是58平方米，有供暖，有地暖，有烤箱，房租价格是12500.0。
629,有一个Huangpu的attached lane house，2卧2厅1卫，面积是80平方米，有空调，房租价格是12500.0。
630,有一个Huangpu的detached lane house，1卧2厅1卫，面积是52平方米，有供暖，有地暖，有烤箱，房租价格是12500.0。
631,有一个Huangpu的attached lane house，2卧1厅1卫，面积是80平方米，有室外空间，房租价格是12500.0。
632,有一个Huangpu的attached lane house，2卧1厅2卫，面积是80平方米，有空调，房租价格是12500.0。
633,有一个Huangpu的detached lane house，2卧1厅1卫，面积是60平方米，有室外空间，有空调，房租价格是12500.0。
634,有一个Huangpu的detached lane house，1卧1厅1卫，面积是75平方米，有空调，有浴缸，房租价格是12500.0。
635,有一个Huangpu的detached lane house，1卧2厅1卫，面积是50平方米，有室外空间，有供暖，有地暖，有烤箱，房租价格是12500.0。
636,有一个Huangpu的detached lane house，2卧1厅1卫，面积是80平方米，有浴缸，房租价格是12500.0。
637,有一个Huangpu的detached lane house，2卧2厅1卫，面积是90平方米，有空调，房租价格是12500.0。
638,有一个Huangpu的detached lane house，2卧1厅1卫，面积是80平方米，有室外空间，房租价格是12800.0。
639,有一个Huangpu的attached lane house，1卧1厅1卫，面积是75平方米，有空调，有阳台，房租价格是12800.0。
640,有一个Huangpu的public housing，1卧1厅1卫，面积是50平方米，有供暖，有空调，有地暖，房租价格是12800.0。
641,有一个Huangpu的detached lane house，2卧1厅1卫，面积是70平方米，整栋建筑，有空调，房租价格是13000.0。
642,有一个Huangpu的detached lane house，1卧2厅2卫，面积是90平方米，有室外空间，有供暖，有浴缸，房租价格是13000.0。
643,有一个Huangpu的attached lane house，1卧1厅1卫，面积是55平方米，有供暖，有地暖，房租价格是13000.0。
644,有一个Huangpu的detached lane house，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，有地暖，房租价格是13000.0。
645,有一个Huangpu的attached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有空调，房租价格是13000.0。
646,有一个Huangpu的attached lane house，1卧2厅1卫，面积是70平方米，有供暖，有空调，有浴缸，房租价格是13000.0。
647,有一个Huangpu的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有地暖，房租价格是13000.0。
648,有一个Huangpu的detached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有浴缸，房租价格是13000.0。
649,有一个Huangpu的detached lane house，2卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有地暖，房租价格是13000.0。
650,有一个Huangpu的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是13000.0。
651,有一个Huangpu的public housing，1卧1厅1卫，面积是90平方米，有室外空间，有供暖，有地暖，房租价格是13000.0。
652,有一个Huangpu的attached lane house，1卧2厅1卫，面积是85平方米，有室外空间，有供暖，有地暖，有烤箱，房租价格是13500.0。
653,有一个Huangpu的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是13500.0。
654,有一个Huangpu的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有空调，有WIFI，房租价格是13500.0。
655,有一个Huangpu的detached lane house，2卧1厅1卫，面积是65平方米，有浴缸，房租价格是13500.0。
656,有一个Huangpu的public housing，2卧2厅1卫，面积是90平方米，有供暖，有空调，房租价格是13500.0。
657,有一个Huangpu的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，房租价格是13500.0。
658,有一个Huangpu的detached lane house，1卧0厅1卫，面积是60平方米，有供暖，有空调，有WIFI，房租价格是13500.0。
659,有一个Huangpu的attached lane house，1卧1厅1卫，面积是70平方米，有室外空间，房租价格是13800.0。
660,有一个Huangpu的attached lane house，2卧2厅2卫，面积是80平方米，有室外空间，房租价格是13800.0。
661,有一个Huangpu的attached lane house，3卧2厅2卫，面积是100平方米，有室外空间，房租价格是13800.0。
662,有一个Huangpu的detached lane house，2卧2厅2卫，面积是110平方米，有室外空间，有空调，有浴缸，房租价格是13800.0。
663,有一个Huangpu的attached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有地暖，房租价格是14000.0。
664,有一个Huangpu的public housing，1卧2厅1卫，面积是60平方米，有空调，有WIFI，房租价格是14000.0。
665,有一个Huangpu的detached lane house，2卧1厅1卫，面积是75平方米，有供暖，有空调，有WIFI，房租价格是14000.0。
666,有一个Huangpu的detached lane house，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，房租价格是14000.0。
667,有一个Huangpu的attached lane house，1卧1厅1卫，面积是80平方米，有室外空间，有空调，房租价格是14000.0。
668,有一个Huangpu的detached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有浴缸，房租价格是14000.0。
669,有一个Huangpu的attached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有地暖，房租价格是14000.0。
670,有一个Huangpu的detached lane house，1卧2厅1卫，面积是60平方米，有供暖，房租价格是14500.0。
671,有一个Huangpu的detached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有地暖，房租价格是14500.0。
672,有一个Huangpu的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有浴缸，房租价格是14500.0。
673,有一个Huangpu的attached lane house，1卧1厅1卫，面积是60平方米，有供暖，房租价格是14800.0。
674,有一个Huangpu的attached lane house，2卧2厅1卫，面积是90平方米，有室外空间，有空调，房租价格是15000.0。
675,有一个Huangpu的attached lane house，2卧1厅1卫，面积是70平方米，有室外空间，有供暖，有空调，房租价格是15000.0。
676,有一个Huangpu的attached lane house，2卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有地暖，房租价格是15000.0。
677,有一个Huangpu的attached lane house，2卧3厅2卫，面积是150平方米，有空调，房租价格是15000.0。
678,有一个Huangpu的attached lane house，2卧3厅2卫，面积是150平方米，有空调，房租价格是15000.0。
679,有一个Huangpu的attached lane house，2卧3厅2卫，面积是150平方米，房租价格是15000.0。
680,有一个Huangpu的attached lane house，1卧2厅1卫，面积是60平方米，有供暖，有空调，房租价格是15000.0。
681,有一个Huangpu的detached lane house，1卧2厅1卫，面积是75平方米，有室外空间，有烤箱，房租价格是15000.0。
682,有一个Huangpu的detached lane house，2卧2厅1卫，面积是108平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是15000.0。
683,有一个Huangpu的public housing，2卧2厅1卫，面积是75平方米，有室外空间，有空调，房租价格是15000.0。
684,有一个Huangpu的attached lane house，2卧3厅2卫，面积是120平方米，整栋建筑，有空调，房租价格是15000.0。
685,有一个Huangpu的attached lane house，2卧3厅2卫，面积是120平方米，整栋建筑，有室外空间，有空调，有浴缸，房租价格是15000.0。
686,有一个Huangpu的attached lane house，1卧2厅1卫，面积是80平方米，有室外空间，有浴缸，房租价格是15000.0。
687,有一个Huangpu的detached lane house，1卧2厅1卫，面积是60平方米，有供暖，有空调，有地暖，有烤箱，房租价格是15000.0。
688,有一个Huangpu的detached lane house，2卧1厅1卫，面积是80平方米，有空调，有阳台，有WIFI，房租价格是15500.0。
689,有一个Huangpu的detached lane house，2卧2厅2卫，面积是140平方米，有室外空间，房租价格是15500.0。
690,有一个Huangpu的detached lane house，2卧1厅1卫，面积是80平方米，有供暖，有空调，有阳台，有WIFI，房租价格是15800.0。
691,有一个Huangpu的attached lane house，1卧2厅1卫，面积是70平方米，有供暖，房租价格是15800.0。
692,有一个Huangpu的attached lane house，3卧2厅2卫，面积是100平方米，有室外空间，有空调，房租价格是16000.0。
693,有一个Huangpu的public housing，2卧2厅1卫，面积是70平方米，有供暖，有空调，房租价格是16000.0。
694,有一个Huangpu的attached lane house，2卧2厅2卫，面积是120平方米，有供暖，有浴缸，房租价格是16000.0。
695,有一个Huangpu的attached lane house，2卧2厅2卫，面积是130平方米，有室外空间，有供暖，房租价格是16000.0。
696,有一个Huangpu的detached lane house，1卧2厅2卫，面积是54平方米，有室外空间，有浴缸，房租价格是16000.0。
697,有一个Huangpu的attached lane house，3卧2厅1卫，面积是110平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是16000.0。
698,有一个Huangpu的attached lane house，1卧1厅1卫，面积是56平方米，有室外空间，有空调，房租价格是16000.0。
699,有一个Huangpu的attached lane house，1卧2厅1卫，面积是55平方米，有室外空间，房租价格是16000.0。
700,有一个Huangpu的detached lane house，2卧2厅2卫，面积是96平方米，有室外空间，房租价格是16500.0。
701,有一个Huangpu的detached lane house，1卧2厅2卫，面积是80平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是16500.0。
702,有一个Huangpu的attached lane house，3卧2厅2卫，面积是160平方米，有室外空间，有供暖，房租价格是16800.0。
703,有一个Huangpu的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是17000.0。
704,有一个Huangpu的attached lane house，2卧2厅1卫，面积是75平方米，有供暖，有空调，房租价格是17500.0。
705,有一个Huangpu的detached lane house，1卧2厅1卫，面积是90平方米，有室外空间，房租价格是17800.0。
706,有一个Huangpu的attached lane house，2卧2厅1卫，面积是80平方米，有供暖，有空调，有浴缸，房租价格是18000.0。
707,有一个Huangpu的attached lane house，1卧1厅1卫，面积是77平方米，有室外空间，有供暖，有空调，房租价格是18000.0。
708,有一个Huangpu的attached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是18000.0。
709,有一个Huangpu的detached lane house，2卧2厅1卫，面积是120平方米，有室外空间，有阳台，房租价格是18000.0。
710,有一个Huangpu的attached lane house，2卧2厅2卫，面积是80平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是18000.0。
711,有一个Huangpu的detached lane house，2卧2厅2卫，面积是100平方米，有室外空间，有供暖，有浴缸，房租价格是18000.0。
712,有一个Huangpu的detached lane house，2卧2厅1卫，面积是97平方米，有室外空间，房租价格是18000.0。
713,有一个Huangpu的attached lane house，1卧1厅1卫，面积是110平方米，有供暖，有空调，有地暖，房租价格是18500.0。
714,有一个Huangpu的public housing，2卧2厅1卫，面积是95平方米，有室外空间，有空调，有阳台，房租价格是19000.0。
715,有一个Huangpu的attached lane house，3卧1厅2卫，面积是100平方米，有室外空间，有空调，有阳台，房租价格是20000.0。
716,有一个Huangpu的attached lane house，3卧2厅2卫，面积是150平方米，有室外空间，有空调，有阳台，有浴缸，房租价格是20000.0。
717,有一个Huangpu的detached lane house，3卧2厅2卫，面积是150平方米，整栋建筑，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是20000.0。
718,有一个Huangpu的detached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是20000.0。
719,有一个Huangpu的detached lane house，3卧2厅1卫，面积是120平方米，有室外空间，房租价格是22000.0。
720,有一个Huangpu的attached lane house，3卧1厅2卫，面积是110平方米，有空调，有浴缸，房租价格是22000.0。
721,有一个Huangpu的detached lane house，3卧2厅2卫，面积是130平方米，有室外空间，有供暖，有浴缸，房租价格是22000.0。
722,有一个Huangpu的detached lane house，3卧2厅2卫，面积是80平方米，有浴缸，房租价格是22000.0。
723,有一个Huangpu的detached lane house，2卧2厅1卫，面积是120平方米，有室外空间，有空调，房租价格是22000.0。
724,有一个Huangpu的attached lane house，3卧2厅2卫，面积是130平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，房租价格是22800.0。
725,有一个Huangpu的attached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是23000.0。
726,有一个Huangpu的detached lane house，2卧3厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是23000.0。
727,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是23000.0。
728,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，有地暖，房租价格是23000.0。
729,有一个Huangpu的attached lane house，1卧1厅2卫，面积是110平方米，有室外空间，有供暖，有地暖，有烤箱，房租价格是24000.0。
730,有一个Huangpu的attached lane house，2卧2厅2卫，面积是110平方米，有室外空间，有供暖，有空调，有阳台，房租价格是24500.0。
731,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是24800.0。
732,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有供暖，有浴缸，有地暖，房租价格是24800.0。
733,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，房租价格是24800.0。
734,有一个Huangpu的attached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有浴缸，房租价格是24800.0。
735,有一个Huangpu的attached lane house，2卧2厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是25000.0。
736,有一个Huangpu的detached lane house，2卧2厅1卫，面积是90平方米，有供暖，有空调，有WIFI，房租价格是25000.0。
737,有一个Huangpu的attached lane house，4卧2厅3卫，面积是190平方米，有空调，有WIFI，房租价格是25000.0。
738,有一个Huangpu的detached lane house，2卧2厅2卫，面积是110平方米，有室外空间，有空调，有烤箱，房租价格是25800.0。
739,有一个Huangpu的detached lane house，3卧2厅2卫，面积是150平方米，有室外空间，有浴缸，房租价格是26500.0。
740,有一个Huangpu的detached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，房租价格是28000.0。
741,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是28000.0。
742,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是28000.0。
743,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是28000.0。
744,有一个Huangpu的detached lane house，3卧2厅2卫，面积是150平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是28000.0。
745,有一个Huangpu的detached lane house，2卧2厅3卫，面积是82平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是28000.0。
746,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是28000.0。
747,有一个Huangpu的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是28000.0。
748,有一个Huangpu的detached lane house，2卧2厅2卫，面积是130平方米，有室外空间，有供暖，有地暖，房租价格是28800.0。
749,有一个Huangpu的attached lane house，2卧2厅2卫，面积是159平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，有烤箱，房租价格是30000.0。
750,有一个Huangpu的detached lane house，3卧2厅2卫，面积是180平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是31000.0。
751,有一个Huangpu的attached lane house，4卧2厅3卫，面积是150平方米，整栋建筑，有室外空间，有浴缸，房租价格是31000.0。
752,有一个Huangpu的detached lane house，5卧2厅3卫，面积是300平方米，整栋建筑，有空调，房租价格是31800.0。
753,有一个Huangpu的attached lane house，5卧2厅3卫，面积是300平方米，整栋建筑，有室外空间，有空调，有阳台，有浴缸，房租价格是31800.0。
754,有一个Huangpu的attached lane house，5卧2厅3卫，面积是200平方米，整栋建筑，有空调，有浴缸，房租价格是31800.0。
755,有一个Huangpu的detached lane house，6卧2厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
756,有一个Huangpu的detached lane house，6卧3厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
757,有一个Huangpu的detached lane house，7卧2厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
758,有一个Huangpu的detached lane house，6卧3厅3卫，面积是288平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
759,有一个Huangpu的detached lane house，6卧2厅3卫，面积是200平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
760,有一个Huangpu的detached lane house，6卧3厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
761,有一个Huangpu的detached lane house，7卧2厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是32000.0。
762,有一个Huangpu的attached lane house，2卧2厅1卫，面积是200平方米，有供暖，有空调，房租价格是33000.0。
763,有一个Huangpu的attached lane house，2卧2厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有烤箱，房租价格是33000.0。
764,有一个Huangpu的attached lane house，2卧2厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有浴缸，有烤箱，房租价格是34000.0。
765,有一个Huangpu的villa，5卧4厅4卫，面积是200平方米，整栋建筑，有空调，有浴缸，房租价格是35000.0。
766,有一个Huangpu的attached lane house，3卧2厅1卫，面积是130平方米，有室外空间，有供暖，有空调，有阳台，房租价格是35000.0。
767,有一个Huangpu的detached lane house，3卧2厅2卫，面积是170平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，有烤箱，房租价格是36000.0。
768,有一个Huangpu的detached lane house，6卧2厅3卫，面积是220平方米，整栋建筑，有空调，有阳台，房租价格是38000.0。
769,有一个Huangpu的attached lane house，5卧3厅5卫，面积是200平方米，有室外空间，有供暖，有WIFI，房租价格是38000.0。
770,有一个Huangpu的detached lane house，6卧2厅3卫，面积是289平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是38500.0。
771,有一个Huangpu的detached lane house，7卧2厅3卫，面积是298平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是39000.0。
772,有一个Huangpu的detached lane house，6卧2厅3卫，面积是218平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是39000.0。
773,有一个Huangpu的attached lane house，4卧2厅3卫，面积是200平方米，有室外空间，有浴缸，房租价格是42000.0。
774,有一个Huangpu的attached lane house，4卧2厅3卫，面积是190平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是45000.0。
775,有一个Huangpu的detached lane house，4卧2厅3卫，面积是240平方米，整栋建筑，有室外空间，有供暖，有空调，有WIFI，有浴缸，房租价格是46000.0。
776,有一个Huangpu的attached lane house，3卧3厅3卫，面积是220平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是48000.0。
777,有一个Huangpu的attached lane house，3卧4厅3卫，面积是250平方米，整栋建筑，有室外空间，有供暖，有浴缸，房租价格是50000.0。
778,有一个Huangpu的attached lane house，3卧2厅2卫，面积是250平方米，整栋建筑，有室外空间，有供暖，有浴缸，房租价格是50000.0。
779,有一个Huangpu的attached lane house，4卧3厅3卫，面积是240平方米，整栋建筑，有室外空间，房租价格是50000.0。
780,有一个Huangpu的attached lane house，3卧3厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是56000.0。
781,有一个Huangpu的attached lane house，6卧4厅6卫，面积是300平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是65000.0。
782,有一个Huangpu的attached lane house，8卧2厅4卫，面积是300平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是80000.0。
783,有一个Huangpu的detached lane house，6卧3厅3卫，面积是300平方米，整栋建筑，有室外空间，有供暖，有浴缸，房租价格是85000.0。
784,有一个Huangpu的attached lane house，5卧2厅3卫，面积是300平方米，有室外空间，有供暖，有空调，房租价格是98000.0。
785,有一个Huangpu的detached lane house，5卧3厅5卫，面积是350平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是130000.0。
786,有一个Huangpu的detached lane house，7卧5厅3卫，面积是500平方米，整栋建筑，有室外空间，有空调，有阳台，房租价格是220000.0。
787,有一个Jiading的public housing，3卧0厅1卫，面积是65平方米，有空调，有阳台，房租价格是7000.0。
788,有一个Jiading的villa，6卧3厅5卫，面积是342平方米，整栋建筑，有室外空间，有空调，房租价格是36000.0。
789,有一个Jing'an的detached lane house，1卧0厅1卫，面积是15平方米，有室外空间，房租价格是2500.0。
790,有一个Jing'an的detached lane house，1卧0厅1卫，面积是15平方米，有室外空间，房租价格是2600.0。
791,有一个Jing'an的detached lane house，1卧1厅1卫，面积是20平方米，有室外空间，房租价格是2700.0。
792,有一个Jing'an的attached lane house，1卧0厅1卫，面积是20平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，房租价格是2800.0。
793,有一个Jing'an的attached lane house，1卧0厅1卫，面积是13平方米，有空调，房租价格是2800.0。
794,有一个Jing'an的attached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是3000.0。
795,有一个Jing'an的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是3300.0。
796,有一个Jing'an的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是3300.0。
797,有一个Jing'an的attached lane house，1卧1厅1卫，面积是20平方米，房租价格是3300.0。
798,有一个Jing'an的attached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是3300.0。
799,有一个Jing'an的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是3300.0。
800,有一个Jing'an的detached lane house，1卧0厅1卫，面积是37平方米，有空调，有WIFI，房租价格是3500.0。
801,有一个Jing'an的attached lane house，1卧0厅1卫，面积是12平方米，有供暖，有空调，房租价格是3500.0。
802,有一个Jing'an的attached lane house，1卧0厅1卫，面积是15平方米，有供暖，有空调，房租价格是3600.0。
803,有一个Jing'an的public housing，1卧1厅1卫，面积是50平方米，有空调，有阳台，房租价格是3600.0。
804,有一个Jing'an的detached lane house，1卧0厅1卫，面积是32平方米，有空调，有浴缸，房租价格是3800.0。
805,有一个Jing'an的attached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是4000.0。
806,有一个Jing'an的detached lane house，1卧0厅1卫，面积是13平方米，有室外空间，有空调，房租价格是4000.0。
807,有一个Jing'an的detached lane house，1卧0厅1卫，面积是38平方米，有WIFI，房租价格是4000.0。
808,有一个Jing'an的attached lane house，1卧1厅1卫，面积是18平方米，有室外空间，有空调，房租价格是4000.0。
809,有一个Jing'an的attached lane house，1卧0厅1卫，面积是24平方米，有空调，房租价格是4000.0。
810,有一个Jing'an的attached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有空调，房租价格是4000.0。
811,有一个Jing'an的detached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是4000.0。
812,有一个Jing'an的attached lane house，1卧0厅1卫，面积是25平方米，有空调，有阳台，房租价格是4200.0。
813,有一个Jing'an的public housing，1卧0厅1卫，面积是38平方米，有供暖，有空调，有阳台，有浴缸，房租价格是4200.0。
814,有一个Jing'an的attached lane house，1卧0厅1卫，面积是25平方米，房租价格是4500.0。
815,有一个Jing'an的attached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是4500.0。
816,有一个Jing'an的detached lane house，1卧1厅1卫，面积是30平方米，有供暖，有空调，房租价格是4500.0。
817,有一个Jing'an的attached lane house，1卧1厅1卫，面积是30平方米，有供暖，有空调，有WIFI，房租价格是4600.0。
818,有一个Jing'an的attached lane house，1卧0厅1卫，面积是12平方米，有空调，有WIFI，房租价格是4600.0。
819,有一个Jing'an的attached lane house，1卧0厅1卫，面积是15平方米，有室外空间，有供暖，有空调，有WIFI，房租价格是4800.0。
820,有一个Jing'an的public housing，1卧0厅1卫，面积是32平方米，有空调，有阳台，房租价格是4800.0。
821,有一个Jing'an的detached lane house，1卧0厅1卫，面积是30平方米，有空调，有地暖，房租价格是4900.0。
822,有一个Jing'an的detached lane house，1卧0厅1卫，面积是30平方米，有空调，房租价格是4900.0。
823,有一个Jing'an的detached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是5000.0。
824,有一个Jing'an的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是5000.0。
825,有一个Jing'an的public housing，1卧1厅1卫，面积是40平方米，有空调，房租价格是5000.0。
